ID,Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID,Relevance,Search,Type_of_model,Type_of_model2,Experiment,Nutrient,Species,Temp_level,Nutrient_level,level_of_org,Pred_skill,interaction,what_to_predict
14,"Mod, H.K., Scherrer, D., Luoto, M., Guisan, A.",What we use is not what we know: Environmental predictors in plant distribution models,2016,Journal of Vegetation Science,,,,,,,,10.1111/jvs.12444,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984682172&partnerID=40&md5=1097fa3bde4e2d6b4cc6da003d8bbb1e,Article in Press,Scopus,2-s2.0-84984682172,0,1,,,,,,,,,,,
15,"Zhang, L., Wang, X., Yu, M., Qiao, Y., Zhang, X.-H.",Genomic analysis of Luteimonas abyssi XH031T: Insights into its adaption to the subseafloor environment of South Pacific Gyre and ecological role in biogeochemical cycle,2015,BMC Genomics,16,1,1092,,,,2,10.1186/s12864-015-2326-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953839578&partnerID=40&md5=176f3599da5e4e489304d6a9a8c54b77,Article,Scopus,2-s2.0-84953839578,0,1,,,,,,,,,,,
16,"Pasquer, B., Metzl, N., Goosse, H., Lancelot, C.",What drives the seasonality of air-sea CO<inf>2</inf> fluxes in the ice-free zone of the Southern Ocean: A 1D coupled physical-biogeochemical model approach,2015,Marine Chemistry,177,,,554,565,,,10.1016/j.marchem.2015.08.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947491312&partnerID=40&md5=c75b70f3f0b34b993206c4d88bad98f7,Article,Scopus,2-s2.0-84947491312,0,1,,,,,,,,,,,
17,"Schneider, S.C.",Greener rivers in a changing climate?-Effects of climate and hydrological regime on benthic algal assemblages in pristine streams,2015,Limnologica,55,,,21,32,,,10.1016/j.limno.2015.10.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947809912&partnerID=40&md5=bfa6f3286434c7cbfa6873e2ccec4246,Article,Scopus,2-s2.0-84947809912,0,1,,,,,,,,,,,
18,"Van Loon, M.P., Dekker, S.C., Anten, N.P.R., Rietkerk, M., VilÌÊ-Guerau De Arellano, J.",Understanding the impact of plant competition on the coupling between vegetation and the atmosphere,2015,Journal of Geophysical Research G: Biogeosciences,120,11,,2212,2228,,2,10.1002/2015JG003108,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958729697&partnerID=40&md5=dc83f8521daa5d0d5bd8dc9ca60ca1a2,Article,Scopus,2-s2.0-84958729697,0,1,,,,,,,,,,,
19,"Wang, Y., Liu, L., Chen, H., Yang, J.",Spatiotemporal dynamics and determinants of planktonic bacterial and microeukaryotic communities in a Chinese subtropical river,2015,Applied Microbiology and Biotechnology,99,21,,9255,9266,,3,10.1007/s00253-015-6773-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945463375&partnerID=40&md5=8dc223e41300ecea976e995861fb4a77,Article,Scopus,2-s2.0-84945463375,0,1,,,,,,,,,,,
20,"Lei, L., Li, C., Peng, L., Han, B.-P.",Competition between toxic and non-toxic Microcystis aeruginosa and its ecological implication,2015,Ecotoxicology,24,07-Aug,,1411,1418,,1,10.1007/s10646-015-1456-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948086072&partnerID=40&md5=cb60d5cbcdd6ab8d8334e426290ffaf6,Article,Scopus,2-s2.0-84948086072,1,1,,,,,,,,,,,
21,"Ribalet, F., Swalwell, J., Clayton, S., JimÌ©nez, V., Sudek, S., Lin, Y., Johnson, Z.I., Worden, A.Z., Armbrust, E.V.",Light-driven synchrony of Prochlorococcus growth and mortality in the subtropical Pacific gyre,2015,Proceedings of the National Academy of Sciences of the United States of America,112,26,,8008,8012,,1,10.1073/pnas.1424279112,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937947716&partnerID=40&md5=94e20cabcff8d32fcc1aba750c8f5e97,Article,Scopus,2-s2.0-84937947716,0,1,,,,,,,,,,,
22,"Gaudio, N., Belyazid, S., Gendre, X., Mansat, A., Nicolas, M., Rizzetto, S., Sverdrup, H., Probst, A.",Combined effect of atmospheric nitrogen deposition and climate change on temperate forest soil biogeochemistry: A modeling approach,2015,Ecological Modelling,306,,,24,34,,1,10.1016/j.ecolmodel.2014.10.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929192099&partnerID=40&md5=44a63c4b46fa64bf1d337b34fda76a7b,Article,Scopus,2-s2.0-84929192099,1,1,,,,,,,,,,,
23,"Pearson, R.G., Connolly, N.M., Boyero, L.","Ecology of streams in a biogeographic isolate - The Queensland Wet Tropics, Australia",2015,Freshwater Science,34,2,,797,819,,3,10.1086/681525,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953728225&partnerID=40&md5=57c1007ee64a40c744436c51b8170cb6,Article,Scopus,2-s2.0-84953728225,0,1,,,,,,,,,,,
